anio,departamento/sede,tipo,valor
2018,QUILMES Sede FLORENCIO VARELA,Caducidad,26
2018,SAN ISIDRO,Caducidad,308
2018,SAN ISIDRO Sede PILAR,Caducidad,160
2018,SAN MARTIN,Caducidad,172
2018,SAN MARTIN Sede SAN MIGUEL,Caducidad,113
2018,SAN NICOLAS,Caducidad,63
2018,TRENQUE LAUQUEN,Caducidad,16
2018,ZARATE-CAMPANA Sede CAMPANA,Caducidad,46
2018,ZARATE-CAMPANA Sede ZARATE,Caducidad,235
2018,AZUL,Desistimiento,3
2018,AZUL Sede OLAVARRIA,Desistimiento,2
2018,AZUL Sede TANDIL,Desistimiento,0
2018,BAHIA BLANCA,Desistimiento,15
2018,BAHIA BLANCA Sede TRES ARROYOS,Desistimiento,2
2018,DOLORES,Desistimiento,15
2018,JUNIN,Desistimiento,70
2018,LA MATANZA,Desistimiento,26
2018,LA PLATA,Desistimiento,53
2018,LOMAS DE ZAMORA,Desistimiento,55
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Desistimiento,16
2018,LOMAS DE ZAMORA Sede LANUS,Desistimiento,16
2018,MAR DEL PLATA,Desistimiento,18
2018,MERCEDES,Desistimiento,8
2018,MERCEDES Sede BRAGADO,Desistimiento,5
2018,MORENO-GRAL.RODRIGUEZ,Desistimiento,17
2018,MORON,Desistimiento,33
2018,NECOCHEA,Desistimiento,9
2018,PERGAMINO,Desistimiento,1
2018,QUILMES,Desistimiento,34
2018,QUILMES Sede FLORENCIO VARELA,Desistimiento,3
2018,SAN ISIDRO,Desistimiento,22
2018,SAN ISIDRO Sede PILAR,Desistimiento,7
2018,SAN MARTIN,Desistimiento,34
2018,SAN MARTIN Sede SAN MIGUEL,Desistimiento,19
2018,SAN NICOLAS,Desistimiento,17
2018,TRENQUE LAUQUEN,Desistimiento,17
2018,ZARATE-CAMPANA Sede CAMPANA,Desistimiento,8
2018,ZARATE-CAMPANA Sede ZARATE,Desistimiento,19
2018,AZUL,Interlocutorios,0
2018,AZUL Sede OLAVARRIA,Interlocutorios,4
2018,AZUL Sede TANDIL,Interlocutorios,0
2018,BAHIA BLANCA,Interlocutorios,1
2018,BAHIA BLANCA Sede TRES ARROYOS,Interlocutorios,12
2018,DOLORES,Interlocutorios,13
2018,JUNIN,Interlocutorios,56
2018,LA MATANZA,Interlocutorios,175
2018,LA PLATA,Interlocutorios,27
2018,LOMAS DE ZAMORA,Interlocutorios,1
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Interlocutorios,240
2018,LOMAS DE ZAMORA Sede LANUS,Interlocutorios,316
2018,MAR DEL PLATA,Interlocutorios,19
2018,MERCEDES,Interlocutorios,33
2018,MERCEDES Sede BRAGADO,Interlocutorios,39
2018,MORENO-GRAL.RODRIGUEZ,Interlocutorios,71
2018,MORON,Interlocutorios,67
2018,NECOCHEA,Interlocutorios,21
2018,PERGAMINO,Interlocutorios,0
2018,QUILMES,Interlocutorios,10
2018,QUILMES Sede FLORENCIO VARELA,Interlocutorios,5
2018,SAN ISIDRO,Interlocutorios,13
2018,SAN ISIDRO Sede PILAR,Interlocutorios,6
2018,SAN MARTIN,Interlocutorios,392
2018,SAN MARTIN Sede SAN MIGUEL,Interlocutorios,5
2018,SAN NICOLAS,Interlocutorios,113
2018,TRENQUE LAUQUEN,Interlocutorios,0
2018,ZARATE-CAMPANA Sede CAMPANA,Interlocutorios,108
2018,ZARATE-CAMPANA Sede ZARATE,Interlocutorios,0
2018,AZUL,Incompetencia,6
2018,AZUL Sede OLAVARRIA,Incompetencia,2
2018,AZUL Sede TANDIL,Incompetencia,3
2018,BAHIA BLANCA,Incompetencia,9
2018,BAHIA BLANCA Sede TRES ARROYOS,Incompetencia,2
2018,DOLORES,Incompetencia,4
2018,JUNIN,Incompetencia,2
2018,LA MATANZA,Incompetencia,58
2018,LA PLATA,Incompetencia,620
2018,LOMAS DE ZAMORA,Incompetencia,155
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Incompetencia,27
2018,LOMAS DE ZAMORA Sede LANUS,Incompetencia,84
2018,MAR DEL PLATA,Incompetencia,20
2018,MERCEDES,Incompetencia,17
2018,MERCEDES Sede BRAGADO,Incompetencia,21
2018,MORENO-GRAL.RODRIGUEZ,Incompetencia,25
2018,MORON,Incompetencia,54
2018,NECOCHEA,Incompetencia,3
2018,PERGAMINO,Incompetencia,2
2018,QUILMES,Incompetencia,153
2018,QUILMES Sede FLORENCIO VARELA,Incompetencia,16
2018,SAN ISIDRO,Incompetencia,194
2018,SAN ISIDRO Sede PILAR,Incompetencia,28
2018,SAN MARTIN,Incompetencia,144
2018,SAN MARTIN Sede SAN MIGUEL,Incompetencia,21
2018,SAN NICOLAS,Incompetencia,24
2018,TRENQUE LAUQUEN,Incompetencia,2
2018,ZARATE-CAMPANA Sede CAMPANA,Incompetencia,8
2018,ZARATE-CAMPANA Sede ZARATE,Incompetencia,7
2018,AZUL,Total Resueltas,370
2018,AZUL Sede OLAVARRIA,Total Resueltas,414
2018,AZUL Sede TANDIL,Total Resueltas,559
2018,BAHIA BLANCA,Total Resueltas,1281
2018,BAHIA BLANCA Sede TRES ARROYOS,Total Resueltas,258
2018,DOLORES,Total Resueltas,1360
2018,JUNIN,Total Resueltas,1218
